Time,HR
16:19:59,108
16:20:04,101
16:20:09,101
16:20:14,95
16:20:19,95
16:20:29,93
16:20:44,92
16:20:49,91
16:20:59,90
16:21:04,90
16:21:09,90
16:21:24,88
16:21:34,85
16:21:44,83
16:21:49,82
16:21:54,85
16:21:59,85
16:22:04,87
16:22:09,88
16:22:14,90
16:22:19,90
16:22:29,88
16:22:34,87
16:22:49,87
16:22:59,86
16:23:04,81
16:23:09,80
16:23:14,80
16:23:29,82
16:23:31,82
16:23:36,80
16:23:41,95
16:23:46,96
16:23:56,96
16:24:01,95
16:24:06,96
16:24:11,93
16:24:26,93
16:32:27,70
16:32:42,70
16:32:57,93
16:33:02,92
16:33:07,91
16:33:17,92
16:33:22,95
16:33:32,95
16:33:37,94
16:33:52,94
16:34:02,93
16:34:12,92
16:34:17,95
16:34:22,97
16:34:27,100
16:34:32,99
16:34:42,98
16:34:47,91
16:34:52,90
16:34:57,92
16:35:02,90
16:35:07,90
16:35:17,91
16:35:22,90
16:35:29,89
16:35:34,93
16:35:44,92
16:35:54,83
16:35:59,83
16:36:04,82
16:36:09,84
16:36:24,85
16:36:29,98
16:36:34,99
16:36:39,98
16:36:44,97
16:36:59,97
16:37:04,97
16:37:19,97
16:37:34,98
16:37:49,97
16:38:04,94
16:38:09,92
16:38:24,92
16:38:29,93
16:38:34,95
16:38:39,96
16:38:44,97
16:38:49,96
16:38:56,95
16:39:01,94
16:39:06,92
16:39:21,94
16:39:26,95
16:39:41,94
16:39:56,92
16:40:01,88
16:40:11,87
16:40:21,90
16:40:26,91
16:40:41,91
16:40:56,91
16:41:11,92
16:41:16,93
16:41:21,92
16:41:26,90
16:41:41,90
16:41:46,89
16:41:51,86
16:41:56,87
16:42:01,86
16:42:16,86
16:42:21,87
16:42:28,126
16:42:33,125
16:42:38,123
16:42:43,121
